check,logic,IN,TD,,T,#N/A,BROKER,Ticker,EXPECTED_REPORT_DT,NAME,CLASSIFICATION_DESCRIPTION,BICS_LEVEL_3_INDUSTRY_NAME,VOLUME_AVG_6M,LAST_PRICE,HIGH,거래금액,VOLUME,volume-multiple,RT_PX_CHG_PCT_1D,CHG_PCT_5D,H,VOLATILITY_30D,PX_YEST_HIGH,PX_YEST_LOW,Qty,평가금액,CRNCY,Side,FX,TT,LOCAL1,LOCAL2,cost,RETURN,BROKER,Instruction_1,Account,Instruction,Account_1,,
,,,,,,,,403870 KS Equity,2023-11-14,HPSP CO LTD,Semiconductor Devices,Semiconductors,"2,132,292 ",35500.00 ,,757 ,"4,786,708 ",2.2 ,-2.47 ,11.62 ,-10.01 ,4.1 ,"37,600.00 ","34,950.00 ",,,KRW,,1.0 ,,,,WPBS,0,,,,,,,
,,,,,,,,024880 KS Equity,2023-11-13,KOREA PARTS & FASTENERS CO L,Bolts & Washers,Industrial Intermediate Prod,"598,400 ",5740.00 ,,34 ,"242,078 ",0.4 ,-0.69 ,5.33 ,-1.37 ,3.2 ,"5,950.00 ","5,520.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,065440 KS Equity,2023-11-13,ELUON CORP,Computer & Software Whslrs,Wholesale - Discretionary,"862,127 ",2300.00 ,,20 ,"3,124,575 ",3.6 ,9.00 ,4.36 ,-2.54 ,2.7 ,"2,150.00 ","2,110.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,012340 KS Equity,2023-11-14,NUINTEK CO LTD,Passive Components,Technology Hardware,"607,621 ",1380.00 ,,8 ,"268,900 ",0.4 ,-1.78 ,-15.70 ,-3.16 ,4.4 ,"1,476.00 ","1,403.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,259960 KS Equity,2023-11-10,KRAFTON INC,Mobile & Online Games,Entertainment Content,"130,958 ",155600.00 ,,204 ,"37,315 ",0.3 ,-0.70 ,-0.32 ,-1.52 ,2.2 ,"156,800.00 ","154,800.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,087260 KS Equity,2023-11-14,MOBILE APPLIANCE INC,Auto Electrical & Electronics,Automotive,"661,753 ",2910.00 ,,19 ,"1,074,438 ",1.6 ,-4.12 ,17.14 ,-3.80 ,5.7 ,"3,035.00 ","2,815.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,005380 KS Equity,2024-01-26,HYUNDAI MOTOR CO,Automobiles,Automotive,"598,604 ",185900.00 ,,"1,113 ","183,495 ",0.3 ,-0.75 ,-0.43 ,-0.54 ,1.1 ,"187,400.00 ","185,600.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,215600 KS Equity,2023-11-14,SILLAJEN INC,Contract Research,Health Care Facilities & Svcs,"1,058,538 ",4940.00 ,,52 ,"181,125 ",0.2 ,-0.40 ,-2.56 ,-1.98 ,2.8 ,"5,110.00 ","4,940.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,1 ,13400,13910,13400 ,-3.9%,IN,034220 KS Equity,2023-10-26,LG DISPLAY CO LTD,Display Panels,Technology Hardware,"1,544,043 ",13940.00 ,1 ,215 ,"566,955 ",0.4 ,0.29 ,1.90 ,-0.71 ,1.9 ,"14,050.00 ","13,600.00 ",1 ,"13,940 ",KRW,SELL,1.0 ,13400,13910,13400,13280,5.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,297000,300000,297000 ,-1.2%,IN,097950 KS Equity,2023-11-14,CJ CHEILJEDANG CORP,Packaged Food,Food,"41,746 ",300500.00 ,1 ,125 ,"7,260 ",0.2 ,-0.83 ,-0.66 ,-1.15 ,2.2 ,"303,000.00 ","296,500.00 ",1 ,"300,500 ",KRW,SELL,1.0 ,297000,297000,300000,311000,-3.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,17820,18130,17820 ,-0.4%,IN,015760 KS Equity,2023-11-13,KOREA ELECTRIC POWER CORP,Integrated Electric Utilities,Electric Utilities,"1,292,166 ",17900.00 ,1 ,231 ,"245,019 ",0.2 ,-0.33 ,-0.89 ,-0.28 ,1.0 ,"17,960.00 ","17,750.00 ",1 ,"17,900 ",KRW,SELL,1.0 ,17820,17820,18130,18390,-2.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
