check,logic,IN,TD,,T,#N/A,BROKER,Ticker,EXPECTED_REPORT_DT,NAME,CLASSIFICATION_DESCRIPTION,BICS_LEVEL_3_INDUSTRY_NAME,VOLUME_AVG_6M,LAST_PRICE,HIGH,거래금액,VOLUME,volume-multiple,RT_PX_CHG_PCT_1D,CHG_PCT_5D,H,VOLATILITY_30D,PX_YEST_HIGH,PX_YEST_LOW,Qty,평가금액,CRNCY,Side,FX,TT,LOCAL1,LOCAL2,cost,RETURN,BROKER,Instruction_1,Account,Instruction,Account_1,,
,,,#N/A,#N/A,6096 ,0.4%,IN,2802 JP Equity,2023-11-07,AJINOMOTO CO INC,"Spices, Extracts & Flavorings",Food,"1,601,950 ",6073.00 ,#N/A,878 ,"428,500 ",0.3 ,-0.23 ,0.30 ,-1.41 ,1.7 ,"6,103.00 ","6,022.00 ","4,000 ","219,407,773 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"6,025.00 ",0.8%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,2273,2337.5,2273 ,-4.1%,IN,6326 JP Equity,2023-11-09,KUBOTA CORP,Farm Machinery & Equipment,Machinery,"3,846,548 ",2369.00 ,1 ,823 ,"1,789,900 ",0.5 ,-0.77 ,5.95 ,-0.90 ,1.7 ,"2,388.00 ","2,347.00 ","10,000 ","213,970,449 ",JPY,SELL,9.0 ,2273,2337.5,2273,"2,221.50 ",6.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,8705,8713,8705 ,-0.9%,IN,4901 JP Equity,2023-11-10,FUJIFILM HOLDINGS CORP,Medical Equipment,Medical Equipment & Devices,"1,392,050 ",8782.00 ,1 ,"1,104 ","570,300 ",0.4 ,0.88 ,3.35 ,-0.31 ,1.8 ,"8,723.00 ","8,641.00 ","2,500 ","198,299,756 ",JPY,SELL,9.0 ,8705,8705,8713,"8,581.00 ",2.3%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,3162,3202,3162 ,-6.3%,IN,8801 JP Equity,2023-11-09,MITSUI FUDOSAN CO LTD,Multi Asset Class Own & Develop,Real Estate Owners & Developers,"3,108,115 ",3376.00 ,1 ,948 ,"2,275,100 ",0.7 ,1.14 ,5.76 ,-0.85 ,1.5 ,"3,340.00 ","3,250.00 ","7,000 ","213,446,587 ",JPY,SELL,9.0 ,3162,3162,3202,"3,189.00 ",5.9%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,1846,1849.5,1846 ,-5.5%,IN,8802 JP Equity,2023-11-10,MITSUBISHI ESTATE CO LTD,Office Owners & Developers,Real Estate Owners & Developers,"4,991,179 ",1953.00 ,1 ,880 ,"2,966,100 ",0.6 ,0.83 ,5.74 ,-0.31 ,1.4 ,"1,937.50 ","1,897.50 ","12,000 ","211,676,296 ",JPY,SELL,9.0 ,1846,1846,1849.5,"1,841.50 ",6.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,3132,3237,3132 ,-3.1%,IN,2768 JP Equity,2023-11-01,SOJITZ CORP,Plastic Matl & Forms Whslrs,Chemicals,"1,926,185 ",3232.00 ,-1 ,562 ,"941,700 ",0.5 ,-0.15 ,3.99 ,-0.52 ,1.8 ,"3,237.00 ","3,177.00 ","7,000 ","204,342,230 ",JPY,SELL,9.0 ,3132,3237,3132,"3,120.00 ",3.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,5529 ,-0.1%,IN,4578 JP Equity,2023-10-31,OTSUKA HOLDINGS CO LTD,Large Pharma,Biotech & Pharma,"1,582,754 ",5535.00 ,#N/A,787 ,"344,000 ",0.2 ,-1.40 ,-0.42 ,-1.13 ,1.5 ,"5,584.00 ","5,510.00 ","4,000 ","199,970,694 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"5,517.00 ",0.3%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,3500,3642,3500 ,-2.8%,IN,5401 JP Equity,2023-11-01,NIPPON STEEL CORP,Steel Producers,Steel,"10,534,770 ",3600.00 ,1 ,"3,425 ","8,598,800 ",0.8 ,-1.15 ,5.08 ,-0.55 ,1.4 ,"3,648.00 ","3,535.00 ","7,000 ","227,608,920 ",JPY,SELL,9.0 ,3500,3642,3500,"3,449.00 ",4.4%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,543,566.3,543 ,-3.6%,IN,5020 JP Equity,2023-11-10,ENEOS HOLDINGS INC,Refining & Marketing,Oil & Gas Producers,"15,691,550 ",563.50 ,-1 ,799 ,"7,013,700 ",0.4 ,-0.30 ,4.72 ,-0.72 ,1.6 ,565.60 ,556.30 ,"42,000 ","213,762,711 ",JPY,SELL,9.0 ,543,566.3,543,538.90 ,4.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,12145,12550,12145 ,-1.9%,IN,6758 JP Equity,2023-11-09,SONY GROUP CORP,Consumer Electronics,Technology Hardware,"3,384,981 ",12375.00 ,1 ,"3,783 ","1,537,100 ",0.5 ,-1.12 ,3.60 ,-1.04 ,1.5 ,"12,590.00 ","12,460.00 ","2,000 ","223,544,475 ",JPY,SELL,9.0 ,12145,12550,12145,"12,075.00 ",2.5%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,8707,8850,8707 ,-1.4%,IN,4062 JP Equity,2023-10-27,IBIDEN CO LTD,PCBs,Technology Hardware,"1,433,794 ",8827.00 ,-1 ,"1,143 ","323,200 ",0.2 ,-0.26 ,3.26 ,-0.73 ,3.1 ,"8,870.00 ","8,769.00 ","2,500 ","199,315,867 ",JPY,SELL,9.0 ,8707,8850,8707,"8,820.00 ",0.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
